date,pump_index,std_order,avg_order,std_trades,std_volume,avg_volume,std_price,avg_price,avg_price_max,hour_sin,hour_cos,minute_sin,minute_cos,symbol,gt
2021-10-14 14:16:00,343,0.7753724297456152,0.4,4.021248173608226,0.06442408900016172,0.017689787779999955,1.1487284356720484e-07,5.1417499999999995e-06,5.146e-06,-0.6310879443260528,-0.7757112907044198,0.9911528310040072,-0.13272552728372186,WABI,0
2021-10-14 14:18:00,343,0.7756282604423289,0.402,4.0204263026836635,0.0644237567551192,0.017691027819999955,1.1527240533997085e-07,5.145499999999998e-06,5.1480000000000005e-06,-0.6310879443260528,-0.7757112907044198,0.9407002666710332,-0.3392388661180303,WABI,0
2021-10-14 14:19:00,343,0.7758788410260351,0.40399999999999997,4.0212715962119505,0.06441940434758009,0.017733482539999953,1.1576350102493205e-07,5.152899999999999e-06,5.156e-06,-0.6310879443260528,-0.7757112907044198,0.8993121301712192,-0.43730732045885534,WABI,0
2021-10-14 14:20:00,343,0.7789412680029191,0.408,4.0202892247824416,0.06450619126210942,0.017921818059999955,1.1627437721202128e-07,5.1589000000000015e-06,5.163e-06,-0.6310879443260528,-0.7757112907044198,0.8477344278896709,-0.5304209081197424,WABI,0
2021-10-14 14:21:00,343,0.7789412680029191,0.408,4.060926772610535,0.0645394431619914,0.018049223919999958,1.1685593063636293e-07,5.167587499999999e-06,5.176e-06,-0.6310879443260528,-0.7757112907044198,0.7865515558026426,-0.6175246149461918,WABI,0
2021-10-14 14:22:00,343,0.7787019670625043,0.406,4.0607431918974015,0.06454214111431636,0.018035858439999955,1.1731899813240378e-07,5.1720875e-06,5.1790000000000016e-06,-0.6310879443260528,-0.7757112907044198,0.7164567402983153,-0.6976315211349846,WABI,0
2021-10-14 14:23:00,343,0.7789412680029191,0.408,4.060364160297505,0.06453970053865685,0.018046214899999958,1.1786005314521046e-07,5.1760875e-06,5.185e-06,-0.6310879443260528,-0.7757112907044198,0.6382441836448203,-0.7698339834299059,WABI,0
2021-10-14 14:26:00,343,0.7819712001831213,0.41200000000000003,4.1258649424146325,0.06542592802486502,0.018526842019999955,1.185377278962764e-07,5.1824875e-06,5.196e-06,-0.6310879443260528,-0.7757112907044198,0.3641605752528221,-0.9313361774523384,WABI,1
2021-10-14 14:27:00,343,0.7817430808705488,0.41,4.1257294247894105,0.06542632343077122,0.01851343943999996,1.1913039590304475e-07,5.1884875e-06,5.202e-06,-0.6310879443260528,-0.7757112907044198,0.26310256422752165,-0.9647678688145158,WABI,0
2021-10-14 14:29:00,343,0.7817430808705488,0.41,4.126078652922192,0.06542980349994025,0.01849472105999996,1.1975104387076524e-07,5.1969875e-06,5.211000000000001e-06,-0.6310879443260528,-0.7757112907044198,0.05322217484217875,-0.998582695676762,WABI,0
2021-10-14 14:31:00,343,0.7819712001831213,0.41200000000000003,4.126215130431909,0.06542582994748901,0.018515743559999957,1.2043384101630044e-07,5.2062374999999995e-06,5.2210000000000005e-06,-0.6310879443260528,-0.7757112907044198,-0.15906349601907185,-0.9872683547213446,WABI,0
2021-10-14 14:32:00,343,0.7847519807828999,0.414,4.129883275801326,0.06541966428554462,0.01850572539999996,1.2119154031253725e-07,5.216487500000002e-06,5.232e-06,-0.6310879443260528,-0.7757112907044198,-0.26310256422752104,-0.9647678688145159,WABI,0
2021-10-14 14:33:00,343,0.7847519807828999,0.414,4.132965861657613,0.06541994836147176,0.018538087839999957,1.2200488936263972e-07,5.225516071428571e-06,5.241e-06,-0.6310879443260528,-0.7757112907044198,-0.3641605752528223,-0.9313361774523384,WABI,0
2021-10-14 14:34:00,343,0.7847519807828999,0.414,4.132965861657613,0.06542077569680471,0.01853499667999996,1.2273455765759056e-07,5.2325160714285706e-06,5.247000000000001e-06,-0.6310879443260528,-0.7757112907044198,-0.461092501449326,-0.8873520750565715,WABI,0
2021-10-14 14:35:00,343,0.7847519807828999,0.414,4.132504226539247,0.06541775017323151,0.018548255879999958,1.2341423048932687e-07,5.238228571428571e-06,5.2500000000000006e-06,-0.6310879443260528,-0.7757112907044198,-0.5528000653611931,-0.8333139190825152,WABI,0
2021-10-14 14:36:00,343,0.7849690138504896,0.41600000000000004,4.145808903329465,0.06545134830407306,0.018686022279999957,1.2388010332770775e-07,5.242228571428572e-06,5.257000000000001e-06,-0.6310879443260528,-0.7757112907044198,-0.6382441836448199,-0.7698339834299063,WABI,0
2021-10-14 14:37:00,343,0.7849690138504896,0.41600000000000004,4.1487878810278485,0.06544708842767047,0.018739973719999952,1.246239869555332e-07,5.250228571428571e-06,5.264e-06,-0.6310879443260528,-0.7757112907044198,-0.7164567402983151,-0.6976315211349847,WABI,0
2021-10-14 14:40:00,343,0.7851808823679238,0.418,4.1487878810278485,0.06545004113308528,0.01881037675999996,1.2542340927052467e-07,5.2568285714285705e-06,5.2670000000000006e-06,-0.6310879443260528,-0.7757112907044198,-0.8993121301712191,-0.4373073204588556,WABI,0
2021-10-14 14:41:00,343,0.7849690138504896,0.41600000000000004,4.1470036506563535,0.06545309260441459,0.01879141537999996,1.2624967550140292e-07,5.266828571428572e-06,5.2770000000000005e-06,-0.6310879443260528,-0.7757112907044198,-0.9407002666710332,-0.3392388661180305,WABI,0
2021-10-14 14:42:00,343,0.7847519807828999,0.414,4.144008882620606,0.0654582682872433,0.01875788327999996,1.2711175175588678e-07,5.275328571428571e-06,5.2860000000000016e-06,-0.6310879443260528,-0.7757112907044198,-0.97142989326471,-0.2373266998711151,WABI,0
2021-10-14 14:43:00,343,0.7849690138504896,0.41600000000000004,4.143759341825482,0.06546980313177403,0.01885052741999996,1.280665225738902e-07,5.2843285714285715e-06,5.295e-06,-0.6310879443260528,-0.7757112907044198,-0.9911528310040072,-0.1327255272837223,WABI,0
2021-10-14 14:44:00,343,0.7849690138504896,0.41600000000000004,4.144008882620606,0.06547053584212666,0.018791334839999955,1.288860301143539e-07,5.291078571428571e-06,5.3e-06,-0.6310879443260528,-0.7757112907044198,-0.9996456111234524,-0.02662052143777516,WABI,0
